Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Poster,Description
Sell Your Haunted House,N/A,"Ha Soo-jin
Jung Yeon-seo
Lee Young-hwa",Park Jin-seok,"Jang Na-ra
Jung Yong-hwa
Kang Hong-seok
Ahn Gil-kang","Comedy
Fantasy
Supernatural",KBS2,16,"April 14 –
June 9, 2021",N/A,Hong Ji-ah (Jang Na-ra) is a real estate broker and an exorcist. She owns Daebak Real Estate which offers the service to clean out buildings in which ghosts frequent and people have died in. She inherited the ability to exorcise from her deceased mother.
My Lovely Liar,N/A,Seo Jeong-eun[1],Nam Sung-woo[4],"Kim So-hyun
Hwang Min-hyun","Mystery[1]
Romantic comedy[2]",tvN,16,"July 31 –
September 19, 2023",N/A,The series depicts the story of a woman who works as a private interrogator and can't trust people because of her ability to hear lies and uncovers the truth while getting entangled with a murder suspect whose innocence no one believes in.[1]
My Mind's Flower Rain,Flowers in My Heart[1],"Han Hee-jung (Episode 1-40)
Moon Young-hoon",Eo Soo-sun,"Na Hae-ryung
Lee Chang-wook
Jung Yi-yeon
Ji Eun-sung","Period drama
Romance
Family
Melodrama
Revenge",KBS2,128,"February 29 –
September 6, 2016",N/A,A story of a bright young girl who lost her family during the Korean War and grew up experiencing the rapid change of Korean society in the 1970s.
Justice (South Korean TV series),N/A,Jeong Chan-mi,Jo Woong,"Choi Jin-hyuk
Son Hyun-joo
Nana
Park Sung-hoon",Legal drama,KBS2,32[a],"July 17 –
September 5, 2019",N/A,Lee Tae-kyeong is a lawyer who often helps CEO Song Woo-yong's richest clients.
Han River Police,N/A,Kim Sang-cheol,Kim Sang-cheol,"Kwon Sang-woo
Kim Hee-won
Lee Sang-yi
Bae Da-bin
Shin Hyun-seung
Sung Dong-il",Action comedy,Disney+,6,"September 13 –
September 27, 2023",N/A,"Late at night, after completing a rescue operation and returning to the precinct, Doo-jin spots Ki-seok conducting suspicious work on a strandedcruise ship, trying to evade the eyes of the police. Sensing something fishy, Doo-jin begins to track his movements."
Tears of the Dragon (TV series),Dragon's Tears,Lee Hwan-kyung,Kim Jae-hyung,"Kim Mu-saeng
Yoo Dong-geun
Ahn Jae-mo",Historical,KBS1,159,"November 24, 1996 –
May 31, 1998",N/A,"The series portrays the life ofYi Bang-won(posthumously known as ""Taejong""), the third king ofJoseonand fifth son of its founder. It depicts him as being committed to the stability of the kingdom, a commitment that translates into affection and devotion towards his father and his heir (originally Taejong's first-born son,Yi Je), although these feelings are not reciprocated due to anger about the various assassinations and executions carried out by Taejong. The anger culminates in the retired Taejo's efforts to remove his son by backing the Jo Sa-wi rebellion and personally shooting an arrow at him during a reconciliation meeting. Taejong grows to become perpetually suspicious of those around him (especially his in-laws), resulting inpurges, a typical example being his execution ofhis wife's influence-peddling-but-loyal oldest brothers and naively-innocent youngest brothers. In disgusted response, his crown prince rejects the throne to become a playboy and his second-born son,Yi Bo, joins theBuddhistpriesthood, deferring the position to the third-born son,Yi Do."
Doctor Lawyer,Dr. Lawyer,Jang Hong-cheol[2],"Lee Yong-seok[1]
Lee Dong-hyun[1]","So Ji-sub
Shin Sung-rok
Im Soo-hyang","Medical
Legal",MBC TV,16,"June 3 –
July 23, 2022",N/A,"A geniussurgeonwho became alawyerspecializing inmedical litigationafter losing everything through a rigged operation, and aprosecutorin charge ofmedical crimeswho lost her only family (younger brother) and lover due to that operation, work together to punish people who believe that wealth and power can rank above life, and comfort the victims ofmedical negligence."
Time Between Dog and Wolf,"Hour of the Dog and Wolf
Time of Dog and Wolf","Han Ji-hoon
Yoo Young-jae",Kim Jin-min,"Lee Joon-gi
Nam Sang-mi
Jung Kyung-ho","Action, Drama
Romance",MBC TV,16,"July 18 –
September 6, 2007",N/A,"After his mother was brutally murdered in front of him by the Thai Qing Faction's gangster Mao, Lee Soo-hyun (Lee Joon-gi) was adopted into NIS agent Kang Jung-ho's family. Together with Min-ki (Jung Kyung-ho), Jung-ho's son, Soo-hyun becomes an NIS agent. Soo-hyun met Ji-woo (Nam Sang-mi) when they were about twelve years old and has another fateful encounter with her 10 years later. Together they have promises for the future."
Vagabond (TV series),N/A,"Jang Young-chul
Jung Kyung-soon[1]",Yoo In-sik[1],"Lee Seung-gi
Bae Suzy
Shin Sung-rok","Spy
Crime
Action
Thriller
Romance",SBS TV,16,"September 20 –
November 23, 2019",N/A,"Cha Dal-gun (Lee Seung-gi) works as an underrated stuntman, while simultaneously taking care of his orphaned nephew, Cha Hoon (Moon Woo-jin). Although they have a fairly loving relationship, Hoon argues with his uncle before he leaves to go on a field trip to Morocco afterMetrojet Flight 9268. Just before the plane takes off, Hoon sends a video of himself encouraging Dal-gun to continue following his dream to become a master in Taekwondo. At a drama set Dal-gun watches a report of a plane crash that killed over 200 civilians due to structural failure."
She Was Pretty,"She Was Beautiful
Puzzled Lovers
Pretty Woman",Jo Sung-hee,Jung Dae-yoon,"Hwang Jung-eum
Park Seo-joon
Go Joon-hee
Choi Si-won","Romantic comedy
Workplace drama",MBC TV,16,"September 16 –
November 11, 2015",N/A,"A romantic comedy, based on a true story, about two past acquaintances who meet again after they've gone through a reversal of fortunes and appearances, set against the backdrop of a fashion magazine's publishing office."
The Fugitive of Joseon,"Heaven's Will
Heaven's Order
Mandate of Heaven","Choi Min-ki
Yoon Soo-jung","Lee Jin-seo
Jeon Woo-sung","Lee Dong-wook
Song Ji-hyo
Kim Yoo-bin
Lim Seul-ong","Historical
Thriller
Mystery
Romance",KBS2,20,"24 April –
27 June 2013",N/A,"Set during the reign ofKing Injong, the protagonist is a royal physician desperate to cure his ailing daughter. He becomes afugitivewhen he gets entangled in an assassination plot to poison the crown prince, and fights to save both his daughter's life and his own.[3][4]"
My Love Toram,N/A,Yoon Young-mi,Han Jung-hwan,Ha Hee-ra,Drama,Seoul Broadcasting System,2,"January 7, 2005",N/A,"Jeon Sook-yeon (Ha Hee-ra) is happily married with two children, but becomes blind in an accident. At first in despair, she finds new hope to live again through the help of her guide dog, Toram.[1][2]"
Hearts and Hari,N/A,N/A,"Yul Kim
Wooyeol Lee","Park Ji-ye
Hyunjun","Drama[1]
Horror[1]
Romance[1]",Tooniverse,12,"January 17 –
March 21, 2020",N/A,
See You in My 19th Life,N/A,Choi Young-lim[3],Lee Na-jeong[3],"Shin Hye-sun
Ahn Bo-hyun
Ha Yoon-kyung
Ahn Dong-goo","Fantasy[1]
Romance[1]",tvN,12,"June 17 –
July 23, 2023",N/A,"Ban Ji-eum (Shin Hye-sun) has been repeating her life through reincarnation for nearly a thousand years and can remember all of her past lives. After her eighteenth life is cut short due to a tragic accident, she decides to reconnect with the man from her previous life in her nineteenth one.[9][10]"
Pachinko (TV series),N/A,N/A,N/A,"Soji Arai
Jin Ha
Jun-woo Han
In-ji Jeong
Eun-chae Jung
Min-ha Kim
Lee Min-ho
Kaho Minami
Steve Sang-Hyun Noh
Anna Sawai
Jimmi Simpson
Yuh-jung Youn
Jeon Yu-na
Sungkyu Kim",Drama,Apple TV+,16,"March 25, 2022 –
present",N/A,"Pachinkofollows four generations of a Korean family,  from 1915 to 1989. In 1931, Sunja leaves her family inKorea, then under Japanese rule, to move to theKoreatownofOsaka, Japan, to start a new life. The series details the living conditions anddiscrimination against Korean immigrants in Japanese society."
The Running Mates: Human Rights,N/A,Baek Jung-chul,Kim Yong-soo,"Lee Yo-won
Choi Gwi-hwa",N/A,OCN,14,"September 18 –
October 31, 2019",N/A,The series follows a group of investigators who work for South Korea'sHuman rights commission.
Twelve (TV series),N/A,"Kim Bong-han
Ma Dong-seok[1]","Kang Dae-gyu
Han Yun-seon","Ma Dong-seok
Park Hyung-sik
Seo In-guk
Sung Dong-il
Lee Joo-bin
Ko Kyu-pil
Kang Mi-na
Sung Yoo-bin
Ahn Ji-hye
Regina Lei","Fantasy action
Superhero",KBS2,8,"August 23 –
September 14, 2025",N/A,"Twelve heavenly beings, led by Tae-san, each representing one of the animals of theEastern zodiac. Long ago, these beings sealed away a powerful demonic entity threatening the human world, resulting in the sacrifice of four of their own. The remaining eight angels, burdened by grief and guilt, withdrew from the mortal realm and vowed never to interfere again."
Secret Garden (South Korean TV series),N/A,Kim Eun-sook,"Shin Woo-chul
Kwon Hyuk-chan","Ha Ji-won
Hyun Bin
Yoon Sang-hyun
Kim Sa-rang","Romance
Comedy
Fantasy",SBS TV,20,"13 November 2010 –
16 January 2011",N/A,"A rationalizing Cinderella story between Gil Ra-im (Ha Ji-won), a stuntwoman, and Kim Joo-won (Hyun Bin), a high-end department store CEO."
Zombie Detective,N/A,Baek Eun-jin,Shim Jae-hyun,"Choi Jin-hyuk
Park Ju-hyun
Kwon Hwa-woon","Comedy
Fantasy
Mystery",KBS2,24,"September 21 –
October 27, 2020",N/A,"Kang Min-ho (Choi Jin-hyuk) wakes up and discovers that he is a zombie with no memories of his past. He trains himself to walk and talk like a human, covers up his scars with makeup, and assumes the identity of private detective Kim Moo-young while trying to solve the mystery of his past. Gong Sun-ji (Park Ju-hyun) is a former investigative journalist who gets hired as a part-time assistant at Moo-young's agency. She discovers Moo-young's zombie secret, and the two team up to solve crimes and discover the mystery behind the existence of zombies."
All About Eve (South Korean TV series),N/A,"Park Ji-hyun
Oh Soo-yeon","Lee Jin-suk [ko]
Han Chul-soo","Jang Dong-gun
Chae Rim
Han Jae-suk
Kim So-yeon","Drama
Romance",MBC TV,20,"April 26 –
July 6, 2000",N/A,"Jin Sun-mi (Chae Rim) is a lovely college student who lives with her upper-middle-class widowed father. She has a happy childhood with her best friend Kim Woo-jin (Han Jae-suk). Life changes radically for Sun-mi when her father decides to support Heo Young-mi (Kim So-yeon), a beautiful girl the same age as Sun-mi."
Page Turner (TV series),N/A,"Heo Yoon-sook
Park Hye-ryun",Lee Jae-hoon,"Kim So-hyun
Ji Soo
Shin Jae-ha",Musical,KBS2,3,"March 26 –
April 9, 2016",N/A,"Story of a piano prodigy Yoon Yoo-seul who goes blind after a car accident, and struggles to get her life back on track with the help of Jung Cha-sik, a fellow aspiring pianist and Seo Jin-mok, her former rival who later becomes a supporter.[4]"
Island (South Korean TV series),N/A,Oh Bo-hyun[4],Bae Jong[1],"Kim Nam-gil
Lee Da-hee
Cha Eun-woo
Sung Joon","Fantasy[1]
Action[1]",tvN,12,"February 10 –
February 25, 2023",N/A,"Based on thegraphic novel, which was later published as awebtoonseries onNaver Webtoon, the series is set onJeju Islandwhere three people fight against an evil that is trying to destroy the world."
Legal High (South Korean TV series),N/A,Park Seong-jin,Kim Jung-hyun,"Jin Goo
Seo Eun-soo
Yoon Park","Legal drama
Comedy[1]",JTBC,16,"February 8 –
March 30, 2019",N/A,The series tells the story of two completely different lawyers who end up working together to win court cases for their clients.
Doctor Prisoner,Dr. Prisoner,Park Kye-ok,Hwang In-hyuk,"Namkoong Min
Kwon Nara
Kim Byung-chul
Choi Won-young",Medical drama,"KBS2
AXN Korea",32[a],"March 20 –
May 15, 2019",N/A,A skilled doctor is forced to quit working at a hospital after being falsely accused of medical malpractice by a spoiled son of a wealthy chaebol who owns the hospital where he works. He starts working in a prison that reserved for the elites with the goal of acquiring enough connections to take his revenge.
LTNS (TV series),Long Time No Sex[1],"Lim Dae-hyung
Jeon Go-woon [ko]","Lim Dae-hyung
Jeon Go-woon","Esom
Ahn Jae-hong","Black comedy[2]
Satire[2]",TVING,6,"January 19 –
February 1, 2024",N/A,"An estranged couple, Woo Jin and Rim Park Samuel, hunt downcheatingcouples to make money. Jin tries to restore their relationship.[5]"
A Girl Who Sees Smells,Girl Who Sees Smell[1],Lee Hee-myung,"Baek Soo-chan
Oh Chung-hwan","Park Yoo-chun
Shin Se-kyung
Namkoong Min
Yoon Jin-seo","Romance[2]
Supernatural[2]",SBS TV,16,"April 1 –
May 21, 2015",N/A,"Choi Eun-seol (Shin Se-kyung) arrives home to find her parents murdered. When they are later found with abarcodecarved into their skin, detective Oh Jae-pyo (Jung In-gi) realizes that the now-comatose daughter Eun-seol is the sole surviving witness. That same night, Choi Moo-gak (Park Yoo-chun) is at the hospital visiting his younger sister (Kim So-hyun), also named Choi Eun-seol, who is treated for mild injuries after a bus accident. However, when Moo-gak returns to her bed, he finds her dead with her throat slit."
Argon (TV series),Arogon[1],"Joon Young-shin
Joo Won-gyu
Shin Ha-eun",Lee Yoon-jung,"Kim Joo-hyuk
Chun Woo-hee",Workplace[2],tvN,8,"September 4 –
September 26, 2017",N/A,The story of truthful reporters who strive to deliver the facts in a world full of fake news.[7]
My Kids Give Me a Headache,N/A,Kim Soo-hyun,Jung Eul-young,"Lee Soon-jae
Kim Hae-sook
Yoo Dong-geun
Uhm Ji-won",Family drama,jTBC,40,"27 October 2012 –
17 March 2013",N/A,"""My Kids Give Me a Headache"" is a television series that delves into the multigenerational dynamics of a family, spanning parents, three sons, three daughters-in-law, and their children."
Wonderful Mama,N/A,Park Hyun-joo,Yoon Ryu-hae,"Bae Jong-ok
Jeong Yu-mi
Kim Ji-seok
Park Bo-gum","Family
Comedy
Soap opera",Seoul Broadcasting System,48,"13 April –
22 September 2013",N/A,"Yoon Bok-hee has accomplished a lot in her life, working her way up from running a money-lending market stand to managing millions. But her priorities shift when she's faced with a diagnosis ofearly-onset Alzheimer's. Her degenerative disease threatens her ability to manage her business and eventually the details of her daily life."
God's Beads,N/A,Jung Hyun-min,Jung Dae-yoon,"Ahn Bo-hyun
Claudia Kim
Ha Yoon-kyung
Son Woo-hyeon
Lee Sung-min
Bae Jeong-nam","Historical[1]
Action[2]",JTBC,N/A,N/A,N/A,"God's Beads (Korean: 신의 구슬) is an upcoming South Korean historical action television series starring Ahn Bo-hyun, Claudia Kim, Ha Yoon-kyung, Son Woo-hyeon, Lee Sung-min, and Bae Jeong-nam. It is scheduled to premiere on JTBC.[2]"
"Friend, Our Legend","Friend, Our Story","Kwak Kyung-taek
Han Seung-woon
Kim Won-seok","Kwak Kyung-taek
Kim Won-seok","Hyun Bin
Kim Min-jun
Seo Do-young
Lee Si-eon
Wang Ji-hye
Jeong Yu-mi","Gangster
Friendship
Drama
Romance",Munhwa Broadcasting Corporation,20,"June 27 –
August 30, 2009",N/A,"Based on the2001 film,Friend, Our Legendexpands and retellsKwak Kyung-taek's semi-autobiographical rough-and-tumble tale about four childhood friendscoming of agein the tough streets ofBusanin the 1970s and 1980s. As they enter into manhood, best friends Dong-soo (Hyun Bin) and Joon-seok (Kim Min-jun) become enemies and bitter rivals in the city's underworld of gangs."
Prosecutor Princess,N/A,So Hyun-kyung,Jin Hyuk,"Kim So-yeon
Park Si-hoo","Romance
Comedy
Legal drama",SBS,16,"March 31 –
May 21, 2010",N/A,"After Ma Hye-ri (Kim So-yeon) passes the bar exam, she discovers that her love of fashion and dislike of overtime interferes with her ability to carry out her duties as a public prosecutor. She faces opposition from contemptuous colleagues and exasperated superiors. With her career on a downward spiral, she enlists the help of mysterious attorney Seo In-woo (Park Si-hoo)."
The Secret Lovers,A Man and a Woman,N/A,Kim Sang-ho,"Han Ji-hye
Kim Suk-hoon
Song Seon-mi
Kwon Oh-joong",N/A,Munhwa Broadcasting Corporation,20,"August 29 –
November 1, 2005",N/A,"Seo Young-ji is ashamed of her poor upbringing and works hard to better herself. She goes to see a plastic surgeon, hoping that by changing her appearance she will feel better about herself. The surgeon, Jung Ah-mi, asks her for a favor: Ah-mi's parents have set her up on a blind date with Kim Joon-woo, but she isn't interested and wants Young-ji to go in her place. Young-ji agrees, and she and Joon-woo hit it off. However, when Joon-woo discovers that Young-ji isn't Ah-mi, and in fact has a poor family to look after, he dumps her."
Jirisan (TV series),"Cliffhanger[1]
Mountain Jiri[2]",Kim Eun-hee,Lee Eung-bok,"Jun Ji-hyun
Ju Ji-hoon","Mystery
Fantasy
Thriller
Drama",tvN,16,"October 23 –
December 12, 2021",N/A,"Set against the backdrop of towering views ofJirisan, it depicts the story ofrangersand other employees of theJirisan National Parkwho climb through the mysterious and unexplored regions of the mountain, trying to rescue the survivors and lost trekkers. The drama is centered around a mystery surrounding the mountain's many visitors - those who come to kill, and those who come to end their lives."
Chief Detective 1958,Chief Inspector: The Beginning,Kim Young-shin [ko][1],Kim Sung-hoon[1],"Lee Je-hoon
Lee Dong-hwi
Choi Woo-sung
Yoon Hyun-soo","Period drama
Crime
Comedy
Action[1]",MBC TV,10,"April 19 –
May 18, 2024",N/A,"Set in the 1950s to 1960s, ten years before the original series, the story follows Detective Park Yeong-han, who specializes in apprehending petty thieves, teams up with three unique colleagues to break down the absurdities of corrupt power with common sense, and is reborn as a detective for the people.[8]"
Good Partner,N/A,Choi Yu-na [ko],Kim Ga-ram,"Jang Na-ra
Nam Ji-hyun
Kim Jun-han
Pyo Ji-hoon
Ji Seung-hyun
Han Jae-yi [ko]","Legal drama[1]
Workplace[1]",SBS TV,16,"July 12 –
September 20, 2024",N/A,"Cha Eun-kyung is a renowned divorce lawyer known for her sharp wit and unwavering dedication to her clients. As she navigates high-profile cases, her own marriage begins to crumble, forcing her to confront her own values and the human cost of her chosen profession. Meanwhile, a newly hired lawyer, Han Yu-ri, challenges Eun-kyung's pragmatic approach with her idealism and passion for justice. Despite their initial clashes, they develop amentor-mentee relationship, learning from each other's strengths and weaknesses. Through a series of challenging cases, both women grapple with ethical dilemmas, confront personal struggles, and ultimately discover the true meaning of ""good partnership"" – not just in the courtroom, but also in their personal and professional lives."
Dr. Park's Clinic,N/A,Seo Jun-beom,Seo Jun-beom,"Lee Seo-jin
Ra Mi-ran","Comedy
Medical drama",TVING,12[1],"January 14 –
February 18, 2022",N/A,"A medical comedy about Dr. Park Won-jang (Lee Seo-jin), a new doctor, struggling with the demands of his vocation."
Doctor Doctor (South Korean TV series),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"The sitcom showed several gags among the staff.  Once, Dr. Ahn had encountered an old patient who had received a bad treatment from Dr. Ahn and thought that she could receive free treatment. Dr. Ahn, being too ashamed to correct her that treatment is not free, agreed to give her a free treatment. The news spread around, and another man who came for ""free treatment"" was overjoyed and shooked a bewildered Dr. Ahn's hand. He later received a visitor, dressed in black from head-to-toe, praised his kindness for giving free treatment to patients, and asked if he wished to hold a merger between the two hospitals. During this time, the visitor received multiple calls from several handphones in one go during the visit, spoke in Japanese, German and English to the respective phone calls."
For Eagle Brothers,N/A,Goo Hyun-sook,Choi Sang-yeol,"Uhm Ji-won
Ahn Jae-wook
Choi Dae-chul
Kim Dong-wan
Yoon Park
Lee Seok-gi [ko]",Family drama,KBS2,54,"February 1 –
August 3, 2025",N/A,"The series unfolds as the five brothers, each with their own stories, gather in one house centered around Ma Gwang-sook."
Queen and I (South Korean TV series),Queen & I[1],Song Jae-jeong,Kim Byung-soo,"Ji Hyun-woo
Yoo In-na","Romance
Fantasy",tvN,16,"April 18 –
June 7, 2012",N/A,"On the year 1694,Joseon Dynasty: Kim Bung-do (Ji Hyun-woo) is a noble-born scholar and his family's sole survivor after they were massacred in a conspiracy. Kim Bung-do supports the reinstatement ofQueen Inhyeon, who was deposed due to scheming by royal concubineLady Jang."
My Dangerous Wife,N/A,Hwang Da-eun,Lee Hyeong-min,"Kim Jung-eun
Choi Won-young","Drama
Thriller
Mystery",MBN,16,"October 5 –
November 24, 2020",N/A,"A story about a couple who starts a war at home with extremely dangerous choices, and about finding the meaning of life as a husband and wife in Korean society.[citation needed]"
Iljimae,Iljimae: The Phantom Thief,Choi Ran,Lee Yong-suk,"Lee Joon-gi
Park Si-hoo
Han Hyo-joo
Lee Young-ah","Historical
Action
Romance",SBS TV,20,"May 21 –
July 24, 2008",N/A,"The story takes place inJoseon, around 1633. Lee Gyeom (Lee Joon-gi) is the son of the virtuous nobleman Lee Won-ho, who is the king's trustworthy supporter and brother, and a central member of the secret organization Cheonwoohoe, composed of other five important nobles with the king as their leader. When a blind fortune teller, looking at Lee Won-ho's home, refers to the king that he sees a person as bright as the sun who would be adored by the people, the king killed Lee Won-ho as he believed that 'two suns cannot exist on the same sky'. Gyeom, from the inside of a safe, manages to survive and witnesses the murder; later, when he is forced to throw a rock at his mother's head to prove that he isn't her son, he loses his memory for the shock and is adopted by a retired thief, Soe-dol, who renames him ""Yong-i"". Thirteen years later, Yong-i regains his memories and begins to search for his older sister Yeon, only to see her being sentenced and hanged."
Brilliant Heritage,"Shocking Legacy
Unbelievable Inheritance",Kim Kyung-hee,Kim Hyeong-il,"Park In-hwan
Kang Se-jung
Shin Jung-yoon [ko]","Comedy
Romance
Drama
Family
Melodrama",KBS1,122,"April 20 –
October 9, 2020",N/A,"Boo Young-bae (Park In-hwan) is the owner of an 80-year-oldPyongyang cold noodlerestaurant whose health scare causes his children to quarrel over his vast wealth. Feeling betrayed by their behavior, he decides to marry Gong Gye-ok (Kang Se-jung), a 33-year-old single maid enticed by Young-bae's fortune and big family, under false pretenses. The move shocks his sons, but Gye-ok's strong work ethic makes Young-bae realize that she'll be able to keep his cold noodle restaurant afloat. Unlike his siblings, Young-bae's independent and headstrong son, Boo Seol-ak (Shin Jung-yoon[ko]), isn't interested in his wealth or family drama, but his disdain for Gye-ok and her presence in his aging father's life motivates him to get involved."
Team Bulldog: Off-Duty Investigation,N/A,"Lee Yu-jin
Jung Yoon-sun",Kang Hyo-jin,"Cha Tae-hyun
Lee Sun-bin
Jung Sang-hoon
Yoon Kyung-ho
Ji Seung-hyun","Action
Crime",OCN,12,"May 23 –
June 28, 2020",N/A,"Known as an enthusiastic and impressively effective detective, Jin Kang-ho (Cha Tae-hyun) will stop at nothing to catch criminals he's assigned to pursue. With the passion to solve the unsolvable cases, Kang-ho finds it's better to work alone. Or so it was, until the day he meet Kang Moo-young (Lee Sun-bin), the overly zealous producer of a low-rated investigative program. Moo-young is as enthusiastic about solving cases and catching criminals as Kang-ho. The two then agree to team up and work together."
Undercover (2021 TV series),N/A,"Baek Cheol-hyeon
Jung Hye-eun
Song Ja-hoon",Song Hyun-wook,"Ji Jin-hee
Kim Hyun-joo
Yeon Woo-jin
Han Sun-hwa
Jung Man-sik
Huh Joon-ho","Political thriller
Action
Drama",JTBC,16,"April 23 –
June 12, 2021",N/A,"Han Jeong-hyeon (Ji Jin-hee) is an agent of theNational Intelligence Service(formerly the Agency for National Security Planning), who has been hiding his identity for the past 30 years as a father and owner of a bicycle repairing shop. Choi Yeon-soo (Kim Hyun-joo), his wife and a Human Rights lawyer, becomes the first Director of the Corruption Investigation Office (CIO). These characters are trying to uncover the truth, pitted against a huge force holding a top position. The series tests their relationship as husband and wife when the secret life of Jeong-hyeon comes to light."
Cheat on Me If You Can,"Cheat on Me, If You Can",Lee Seong-min,Kim Hyung-seok,"Cho Yeo-jeong
Go Jun
Kim Young-dae
Yeonwoo","Comedy
Thriller
Romance",KBS2,16,"December 2, 2020 –
January 28, 2021",N/A,"A comical mystery thriller between a divorce lawyer and his wife, a criminal novelist who only thinks about how to kill people. She wrote a memorandum stating, ""If you cheat, you die""."
Gracious Revenge,"Perfect Mother and Daughter
Elegant Mother and Daughter[1]",Oh Sang-Hee,Eo Soo-Sun,"Choi Myung-gil
Cha Ye-ryun
Kim Heung-soo
Oh Chae-yi [ko]","Melodrama
Revenge
Family
Romance",KBS2,103,"November 4, 2019 –
March 27, 2020",N/A,A story of a woman who was raised as a tool for her mother's revenge and her dangerous love life will be introduced.[4]
Hometown Cha-Cha-Cha,N/A,Shin Ha-eun[2][3],"Yoo Je-won
Kwon Yong-il [ko]","Shin Min-a
Kim Seon-ho
Lee Sang-yi","Comedy drama
Romantic comedy[1]
Slice of life",tvN,16[4],"August 28 –
October 17, 2021",N/A,"Yoon Hye-jin, an accomplished dentist from Seoul, goes to the idyllic seaside village of Gongjin on her late mother's birthday after her life goes awry. She spontaneously decides to open up a dental clinic, and gets to knowjack-of-all-tradesHong Du-sik, also known as Chief Hong. The romantic drama depicts the growing romance between the two, as well as the lives of other Gongjin's residents."
Guardian: The Lonely and Great God,Goblin[1],Kim Eun-sook,"Lee Eung-bok (Ep. 1–16)
Kwon Hyuk-chan (Ep. 5–16)
Yoon Jong-ho (Ep. 3–16)","Gong Yoo
Kim Go-eun
Lee Dong-wook
Yoo In-na
Yook Sung-jae","Fantasy[2]
Romantic comedy[3]
Drama",tvN,16 + 3 specials[4],"December 2, 2016 –
January 21, 2017",N/A,"Kim Shin (Gong Yoo), a decorated military general from theGoryeoDynasty, is framed as a traitor and killed by the young king. Years after his death, he is cursed by the Almighty to stay immortal forever, enduring the pain of seeing his loved ones die as punishment for the soldiers he killed to protect his country. Kim Shin becomes an immortal goblin, helping people with his powers and being a kind man despite his tragic past. The only person that can end his immortality is the Goblin's bride, who does so by pulling the sword."
Mr. Back,N/A,Choi Yoon-jung,Lee Sang-yeob,"Shin Ha-kyun
Jang Na-ra
Lee Joon
Park Ye Jin","Romance
Comedy
Fantasy",Munhwa Broadcasting Corporation,16,"November 5 –
December 25, 2014",N/A,"Choi Go-bong (meaning ""highest peak"" or ""highest salary"") is a 70-year-old man who runs a large hotelconglomerate, and he's known nothing but greed and selfishness all his life. When his body suddenly transforms back into his 30s, he becomes gleeful at the chance to relive his youth. He renames himself Choi Shin-hyung (meaning ""newest model""), and meets Eun Ha-soo, a part-timer who's just landed her first regular job. Because of Ha-soo, he learns what love is for the first time in his life. At the same time, he develops a relationship with his estranged son and troublesome heir, Choi Dae-han.[5][6][unreliable source?]"
Gangnam B-Side,Bulk,"Joo Won-gyu
Park Noo-ri",Park Noo-ri [ko],"Jo Woo-jin
Ji Chang-wook
Ha Yoon-kyung
Kim Hyeong-seo",Crime thriller,Disney+,8 (list of episodes),"November 6 –
November 27, 2024",N/A,"Kang Dong-woo, who led a police force corruption probe, is thereafter rejected by his peers and estranged from his family. After relocating to a peaceful rural outpost, he finds himself drawn once more into the shady Gangnam district of Seoul when his daughter's friend named Kim Jae-hee goes missing. Along with broker Yoon Gil-ho and prosecutor Min Seo-jin, Dong-woo will reenter the world of vice, narcotics, and corruption in an attempt to unearth a plot that might bring down some of the wealthiest elite in the city."
Master of Study,N/A,Yoon Kyung-ah,Yoo Hyun-ki,"Kim Soo-ro
Bae Doona
Oh Yoon-ah
Yoo Seung-ho
Go Ah-sung
Lee Hyun-woo
Park Ji-yeon
Lee Chan-ho",Teen,Korean Broadcasting System,16,"January 4 –
February 23, 2010",N/A,"When scrappy and abrasive lawyer Kang Suk-ho is put in charge of the liquidating Byung Moon High School, he sees his own troubled past in the problematic students who live their lives with no dreams. He then offers to teach them and proclaims that he will get five students accepted into Cheonha University, the most prestigious college in the country. Earnest English teacher Han Soo-jung, who believes that the purpose of education is not about getting into a good college, likewise initially objects to Suk-ho's teaching methods and motivations. But he establishes a special class for the five delinquent students, including Hwang Baek-hyun, who bumps heads right away with Suk-ho,[6]to help them prepare for Cheonha University.[7][8]"
Would You Marry Me,N/A,Lee Ha-na,"Song Hyun-wook
Hwang In-hyeok [ko]","Choi Woo-shik
Jung So-min",Romantic comedy,SBS TV,4,"October 10, 2025 –
present",N/A,Would You Marry Meis a romantic comedy about a 90-day fake marriage between a man and a woman who are trying to win the grand prize of a luxury home for newlyweds.
